SIREN,SIRET,nom,dirigeant,telephone,email,date_creation,age,departement,pays,code_postal,ville,site_web,famille,micro-famille,chiffre_affaires_montant,chiffre_affaires_annee,resultat_net_montant,resultat_net_annee
239823706,2.39824E+13,Gay,Emmanuel-Roger Gérard,+33 (0)4 65 73 31 39,clementnathalie@example.com,26/02/2011,13 ans,21,FR,11363,Perrin-sur-Blanchet,https://chauvet.fr/,Produits Frais,FROMAGES,36.6,2019,-9.8,2023
656002840,6.56003E+13,Hoareau,Émile Albert,01 70 90 37 47,albertvincent@example.org,6/10/2021,3 ans,42,FR,55247,Sainte Joseph,http://www.guyot.fr/,Habillement,VETEMENTS,77.9,2018,-6.5,2020
238222351,2.38222E+13,Ollivier,Susan Delahaye,228272821,nguyenmarcel@example.net,2/9/2005,19 ans,53,FR,47454,Perrot,https://www.benoit.net/,DPH,HYGIENE,68.6,2018,-2.2,2018
945957359,9.45957E+13,Morvan et Fils,Honoré Olivier,04 75 06 67 60,guilloususanne@example.com,19/09/1975,49 ans,26,FR,29856,Huet,https://reynaud.com/,Habillement,ACCESSOIRES,46.9,2019,-7.8,2018
684482892,6.84483E+13,Bertin,Susanne Pasquier,+33 5 34 49 47 98,odette96@example.net,14/05/2000,24 ans,94,FR,26957,Parent,http://colas.net/,Équipement de la Maison,DECORATION,4,2021,-8.5,2018
193330757,1.93331E+13,Martins,Alphonse Guyon-Jacquot,+33 (0)3 86 63 96 05,theophile45@example.net,29/11/1993,31 ans,23,FR,17358,Lacroix-les-Bains,http://levy.fr/,Épicerie,EPICERIE SUCREE-CAFE,4,2019,-0.2,2020
992762673,9.92763E+13,Louis,Xavier Payet,143887744,augeralain@example.org,14/10/2019,5 ans,38,FR,92548,Mahe-sur-Weber,http://renaud.org/,Bien-Être,COSMETIQUES,6.3,2020,-2.7,2021
804879483,8.04879E+13,Chauvet,Grégoire Deschamps,352927744,anaisfrancois@example.org,26/02/2009,15 ans,7,FR,4140,Clément,http://www.pottier.org/,Équipement de la Maison,ELECTROMENAGER,83.5,2021,-0.4,2021
225232883,2.25233E+13,Perrot,Lorraine-Antoinette Moreau,+33 1 76 79 64 93,albertzoe@example.org,5/10/1978,46 ans,45,FR,10222,Parent,https://rodriguez.fr/,DPH,PRODUITS D'ENTRETIEN,59.6,2019,-2.4,2018
665218718,6.65219E+13,Roussel Laroche S.A.S.,Franck Chauveau,325558818,hamelodette@example.com,2/3/2001,23 ans,72,FR,90665,Meunier-sur-Delorme,https://leger.org/,Bien-Être,COMPLEMENTS ALIMENTAIRES,51.4,2019,6.2,2023
664417334,6.64417E+13,Merle et Fils,Émilie Renard,+33 (0)6 88 65 43 60,faurehenri@example.com,11/8/2001,23 ans,36,FR,62242,Sainte Michelle,http://www.marchand.com/,Équipement de la Maison,DECORATION,43.4,2021,-8,2018
316973291,3.16973E+13,Delannoy,Hugues Maury,+33 (0)3 45 99 67 28,qperrin@example.org,2/7/1976,48 ans,89,FR,23244,Gaillard,http://legendre.com/,Habillement,ACCESSOIRES,97.6,2021,2.7,2019
657290179,6.5729E+13,Le Roux,Jacques-Emmanuel Grégoire,07 44 41 30 41,moreldavid@example.net,23/01/2001,23 ans,32,FR,85658,Launay-sur-Bousquet,http://www.barthelemy.fr/,Équipement de la Maison,ELECTROMENAGER,59.7,2019,-9.3,2019
823374231,8.23374E+13,Hernandez SA,Arnaude Da Silva Le Robin,+33 2 33 79 49 71,nathalie89@example.org,26/06/1994,30 ans,76,FR,2456,Sainte Marineboeuf,http://millet.fr/,Habillement,CHAUSSURES,87.9,2022,2.2,2023
463565458,4.63565E+13,Poulain S.A.S.,Frédérique du Perrot,+33 (0)1 42 29 83 57,isaacpierre@example.org,1/3/2008,16 ans,29,FR,61843,Michel,http://diallo.net/,Boissons,EAUX MINERALES,68.4,2020,-1.2,2022
690030118,6.9003E+13,Rousseau,Gérard Michel,+33 (0)6 95 49 51 53,laetitiacharles@example.org,15/07/2004,20 ans,81,FR,45488,DanielVille,https://www.marie.net/,Équipement de la Maison,MEUBLES,72.5,2021,8.2,2020
138165795,1.38166E+13,Brun Rousset et Fils,Alexandre Moreau,257944139,anastasiemeyer@example.net,19/03/2012,12 ans,5,FR,41244,Techer,https://torres.net/,Boissons,SODAS,30.9,2019,0.3,2018
417113078,4.17113E+13,Cordier Guillet S.A.S.,Louise-Thérèse Ribeiro,+33 4 99 94 02 67,lucie39@example.net,28/01/1990,34 ans,90,FR,58589,Saint Valentine-les-Bains,http://mary.com/,Épicerie,EPICERIE SALEE-CONSERVE DE LEGUMES,54.9,2021,7.5,2021
824343361,8.24343E+13,Muller S.A.S.,Victoire Morin,03 24 19 02 20,trobin@example.org,11/4/1975,49 ans,9,FR,65553,RenaudBourg,http://www.guilbert.fr/,Produits Frais,FROMAGES,75.6,2023,1,2022
722077297,7.22077E+13,Wagner Maury SARL,Julien-Marc Ribeiro,+33 6 33 70 27 02,qcosta@example.com,27/01/1979,45 ans,35,FR,14785,Maréchalnec,http://michel.fr/,Bien-Être,PRODUITS DE SOIN,70.4,2019,-2.5,2020
239586904,2.39587E+13,Valette Carlier S.A.S.,Claire Chevalier de la Dupuis,+33 4 94 41 13 94,bernardgilbert@example.net,20/10/1977,47 ans,68,FR,37833,David-sur-Mer,https://legendre.com/,DPH,PARFUMERIE,1,2022,-0.3,2019
283384724,2.83385E+13,Poulain,Pénélope Lévy,+33 5 31 82 04 78,sylvielefevre@example.org,24/01/2016,8 ans,78,FR,35822,Adam,https://www.bourdon.org/,Produits Frais,LAITAGES,36.6,2019,-3.7,2019
623993475,6.23993E+13,Hervé Hervé SARL,Thibaut Peltier-Costa,+33 5 17 70 89 55,laportealphonse@example.org,23/08/1975,49 ans,46,FR,55696,Alexandreboeuf,https://leroy.com/,Épicerie,EPICERIE SALEE-CONSERVE DE LEGUMES,98,2023,6.8,2020
668836058,6.68836E+13,Delorme,Valérie Morvan,05 19 44 66 80,paulrobert@example.com,31/12/2007,17 ans,17,FR,32727,Jourdan,https://www.meyer.fr/,Épicerie,EPICERIE SUCREE-CAFE,39.5,2023,7.3,2019
568171537,5.68172E+13,Ferrand Bigot SA,Lorraine Germain,06 38 88 15 35,hvincent@example.com,2/10/1998,26 ans,74,FR,32811,Da Costa,https://www.thibault.com/,DPH,PRODUITS D'ENTRETIEN,28.1,2022,-7.6,2019
423236488,4.23236E+13,Benard,Rémy Bourgeois,+33 (0)6 34 42 37 34,xhoarau@example.com,30/10/1979,45 ans,1,FR,11944,Royer,http://www.rolland.com/,Boissons,JUS DE FRUITS,42.8,2023,-0.6,2020
363197118,3.63197E+13,Costa Gérard SARL,Philippe Laporte du Bernard,+33 3 90 29 95 52,caroline64@example.net,6/5/1986,38 ans,69,FR,54454,Sainte Pénélope,http://texier.net/,Boissons,EAUX MINERALES,92.1,2022,-2.7,2018
570900543,5.70901E+13,Maillard,Jules Julien,+33 2 44 21 90 27,oletellier@example.net,21/08/1984,40 ans,59,FR,40857,Sainte François,https://peltier.net/,DPH,HYGIENE,65.4,2018,-5.2,2020
510750748,5.10751E+13,Sauvage SARL,Anastasie Petitjean,+33 (0)3 61 98 31 16,marc72@example.net,13/03/1975,49 ans,60,FR,91162,Thierrynec,http://huet.fr/,Produits Frais,LAITAGES,52.7,2020,-6.4,2018
217697469,2.17697E+13,Turpin,Margaret-Agnès Dos Santos,553911086,uperon@example.com,16/11/2021,3 ans,10,FR,6970,Robinnec,https://www.simon.fr/,DPH,PARFUMERIE,8.9,2023,1.7,2019
624292353,6.24292E+13,Lebrun S.A.R.L.,Maggie Lecoq-Petit,+33 1 83 15 05 07,marianneloiseau@example.com,27/02/2014,10 ans,14,FR,58373,Vincent-sur-Grenier,https://henry.com/,Produits Frais,LAITAGES,28.2,2023,-10,2021
248162294,2.48162E+13,Nguyen Guyon S.A.S.,Éléonore Marques-Hoarau,+33 (0)1 48 16 38 16,ygodard@example.org,8/4/2000,24 ans,23,FR,42207,Lévêquenec,http://www.bousquet.com/,DPH,PARFUMERIE,54.5,2020,-9.3,2021
494796079,4.94796E+13,Labbé,Paulette Jean,02 49 99 32 54,techerastrid@example.com,3/9/1995,29 ans,92,FR,26662,Marty-la-Forêt,https://www.julien.net/,Produits Frais,VIANDES,71.8,2021,-9.2,2023
231437022,2.31437E+13,Deschamps,Augustin Reynaud,+33 (0)4 86 63 86 31,zleleu@example.net,25/11/1985,39 ans,29,FR,53471,Gros,https://www.bousquet.fr/,Équipement de la Maison,MEUBLES,77,2018,-9.4,2020
972554920,9.72555E+13,Fernandez Breton SARL,Élise Humbert,03 24 85 25 86,francoisbertrand@example.com,27/03/2015,9 ans,36,FR,32832,Lesagenec,https://www.bigot.fr/,Épicerie,EPICERIE SALEE-LOTS SPECIFIQUES,90.2,2019,6.7,2022
178291559,1.78292E+13,Louis,Jules de Riou,495686745,noemide-sousa@example.org,25/04/1989,35 ans,62,FR,93106,Renaud,https://becker.com/,Équipement de la Maison,DECORATION,33.8,2021,-8.1,2022
833196006,8.33196E+13,Mendès,Alfred de Hamel,+33 2 36 18 68 09,celine03@example.org,16/08/2011,13 ans,73,FR,10959,Sainte Martine,https://bertin.com/,Boissons,EAUX MINERALES,20.9,2020,-7.8,2018
711151830,7.11152E+13,Roussel,Louise Andre,03 88 59 07 90,rene71@example.net,16/07/2016,8 ans,37,FR,14766,Saint AugustinVille,https://delannoy.com/,Épicerie,EPICERIE SUCREE-CAFE,40.1,2019,4,2022
158493468,1.58493E+13,Coste,Océane-Alex Navarro,+33 4 70 96 92 30,agallet@example.net,21/07/1980,44 ans,5,FR,40168,Sainte Frédérique,https://www.marin.net/,Épicerie,EPICERIE SUCREE-CAFE,81.8,2023,9.5,2019
247749212,2.47749E+13,Teixeira S.A.S.,Lucas Gomes-Brunet,03 85 96 29 57,timothee26@example.org,6/2/2011,13 ans,47,FR,50910,Langlois-sur-Marques,http://www.giraud.com/,DPH,PARFUMERIE,60.8,2018,9.1,2023
309359009,3.09359E+13,Techer,Alix Poulain,03 70 82 94 79,chantalmathieu@example.net,14/03/2022,2 ans,89,FR,78542,Lopez-sur-Mer,https://vidal.fr/,Épicerie,EPICERIE SALEE-CONSERVE DE LEGUMES,84.5,2020,-6.2,2019
573872471,5.73872E+13,Andre,Marcelle Garnier,+33 (0)4 88 33 30 68,veronique29@example.net,25/06/2021,3 ans,67,FR,84406,Saint Victoire-sur-Mer,https://martins.net/,Équipement de la Maison,DECORATION,31.2,2020,5.3,2022
980140722,9.80141E+13,Lemaître,Margot Ollivier,+33 (0)6 98 24 65 79,sfontaine@example.net,3/6/2019,5 ans,11,FR,37223,Mahe-sur-Gilbert,https://www.maillot.fr/,Habillement,CHAUSSURES,66.3,2023,8.3,2021
729969898,7.2997E+13,Ferrand Gallet SARL,Michèle Durand,+33 3 87 30 76 34,lamyroland@example.com,29/05/1991,33 ans,48,FR,7295,Sainte Élise,https://www.launay.org/,Épicerie,EPICERIE SALEE-CONSERVE DE LEGUMES,2.8,2021,4.1,2021
916630266,9.1663E+13,Rousseau,Capucine Barre-Bonneau,+33 (0)5 81 89 12 86,juliette09@example.org,14/07/1994,30 ans,81,FR,41316,PotierBourg,https://robert.org/,Épicerie,EPICERIE SALEE-CONSERVE DE LEGUMES,22.1,2020,2.1,2022
493641899,4.93642E+13,Leroux S.A.S.,Tristan Gautier de Ribeiro,534233420,fleurymaggie@example.org,4/5/2003,21 ans,80,FR,5776,Dumas,http://berthelot.net/,Épicerie,EPICERIE SUCREE-CAFE,57.6,2019,8.5,2018
185516449,1.85516E+13,Petit,Anouk Lagarde,278386100,nrobin@example.com,7/3/1984,40 ans,21,FR,91811,Pasquiernec,https://www.hebert.net/,Équipement de la Maison,MEUBLES,44.6,2020,5.2,2021
732490325,7.3249E+13,Charles,Richard Perrin du Perez,422627754,ledouxalex@example.com,7/8/1992,32 ans,48,FR,39370,Guyot-sur-Perrin,https://www.legendre.org/,Habillement,VETEMENTS,90.3,2020,-0.8,2019
196396531,1.96397E+13,Pires S.A.S.,Noémi Munoz,+33 4 93 60 92 87,georgescolette@example.net,29/04/1987,37 ans,7,FR,33898,MaheVille,https://boulanger.fr/,Produits Frais,LAITAGES,79.2,2023,2.5,2020
772432815,7.72433E+13,Bertin S.A.,Michelle de la Mendès,03 68 97 46 08,edelahaye@example.org,24/10/2023,1 ans,58,FR,2212,Albert,http://pasquier.com/,DPH,PARFUMERIE,4.7,2022,-8.8,2018
132282871,1.32283E+13,Payet,Jérôme de la Leclerc,03 62 45 58 98,nicolejoly@example.org,19/09/1989,35 ans,82,FR,74243,Saint Susan-la-Forêt,http://cordier.net/,Équipement de la Maison,ELECTROMENAGER,14.2,2018,-5.1,2019
721856907,7.21857E+13,Peron,Monique Becker,03 89 95 73 48,grondinjeanne@example.com,2/3/1986,38 ans,5,FR,70839,Coulon,http://www.michel.net/,Épicerie,EPICERIE SALEE-CONSERVE DE LEGUMES,14.8,2023,-9.1,2019
377962513,3.77963E+13,Jacob,Pierre Morin,07 36 28 34 68,franck24@example.net,3/2/1986,38 ans,18,FR,63881,Brunel-sur-Besnard,http://www.pottier.com/,Bien-Être,COMPLEMENTS ALIMENTAIRES,17.1,2019,4.7,2020
950536858,9.50537E+13,Lebon Pelletier et Fils,Marcel-Hugues Da Costa,04 11 50 00 60,bernardtheodore@example.net,16/12/2023,1 ans,85,FR,88549,Gillet,http://www.leconte.com/,Habillement,VETEMENTS,66.1,2018,-2.6,2020
880704952,8.80705E+13,Faure,Tristan-Guillaume Meyer,+33 2 33 64 83 73,louismargaux@example.net,9/1/1989,35 ans,1,FR,4609,Goncalves,http://www.bigot.com/,Produits Frais,LAITAGES,35,2018,-1.4,2019
763500492,7.635E+13,Roussel Guibert et Fils,Clémence Denis,04 95 90 56 16,robinbenoit@example.com,16/05/2015,9 ans,72,FR,22125,Fabre,http://www.gilbert.com/,Équipement de la Maison,DECORATION,73.2,2021,-7.1,2022
858825163,8.58825E+13,Joseph,Claire Coulon,01 41 10 32 88,briandalphonse@example.org,2/10/2005,19 ans,57,FR,27977,Royer-sur-Carpentier,https://pascal.com/,DPH,PRODUITS D'ENTRETIEN,33.5,2021,-1.9,2019
649827534,6.49828E+13,Robin,Maurice Le Picard,04 75 22 51 24,adelaideguyon@example.net,18/03/1995,29 ans,13,FR,97275,François,https://www.moreno.com/,Boissons,SODAS,58.4,2020,9.3,2019
161689016,1.61689E+13,Legendre Rossi SA,Guy Hardy,+33 2 44 13 50 42,bbesnard@example.org,6/10/2000,24 ans,30,FR,56234,Bourdon,https://roger.org/,Épicerie,EPICERIE SALEE-CONSERVE DE LEGUMES,25,2020,-3.6,2022
630566117,6.30566E+13,Maillot,Claudine Fournier,+33 4 74 15 46 58,hervebenoit@example.net,8/7/2005,19 ans,68,FR,27450,Marques-sur-Mer,https://www.martinez.fr/,Épicerie,EPICERIE SALEE-CONSERVE DE LEGUMES,12.1,2021,3.6,2023
965662226,9.65662E+13,Bonnin,Thomas-William Ruiz,02 96 00 94 15,denismarine@example.org,4/10/1984,40 ans,95,FR,30177,Devaux-la-Forêt,https://www.vidal.fr/,Produits Frais,LAITAGES,30.2,2020,-2.7,2022
782402102,7.82402E+13,Marques,Stéphanie Denis,01 69 42 23 27,hebertjoseph@example.org,23/12/2008,16 ans,17,FR,95432,Bazinnec,http://boutin.net/,Épicerie,EPICERIE SALEE-CONSERVE DE LEGUMES,85.5,2020,-5.7,2020
570609017,5.70609E+13,Bourgeois S.A.,Guillaume Gosselin-Rodriguez,05 62 50 15 24,susanmartineau@example.org,6/1/1982,42 ans,58,FR,87681,Lefort,https://www.perrier.org/,DPH,HYGIENE,41.7,2021,1.5,2019
554892001,5.54892E+13,Bourgeois,Cécile Marchal-Lucas,+33 2 96 63 28 57,fredericfouquet@example.com,28/03/2000,24 ans,56,FR,38222,Roger,https://brunel.fr/,Produits Frais,LAITAGES,8.1,2022,4.6,2019
623106766,6.23107E+13,Garnier Leclercq S.A.S.,Paulette Lecoq,+33 6 34 14 37 90,margaretmenard@example.net,10/4/2009,15 ans,73,FR,41692,Texiernec,http://gonzalez.org/,Habillement,VETEMENTS,7.9,2023,6,2022
190100967,1.90101E+13,Deschamps Julien et Fils,Adélaïde Dupont,+33 4 32 71 75 22,inesleroux@example.com,18/12/1998,26 ans,82,FR,68545,Saint Emmanuel,https://marin.com/,DPH,PRODUITS D'ENTRETIEN,53.6,2019,-2.7,2020
234780189,2.3478E+13,Pottier,Alfred Louis,+33 1 49 68 66 48,fmarie@example.com,9/7/1989,35 ans,4,FR,38513,Dubois-les-Bains,https://www.berthelot.com/,Épicerie,EPICERIE SUCREE-CAFE,95.2,2018,8,2019
933554075,9.33554E+13,Pascal Gaudin et Fils,Thibault Potier,+33 (0)4 56 41 77 88,denisde-oliveira@example.com,6/7/1990,34 ans,16,FR,34634,Martins,https://chevallier.fr/,Produits Frais,FROMAGES,16.4,2022,3.2,2023
719939242,7.19939E+13,Devaux,Eugène Rocher,390660447,christophe32@example.org,10/12/2016,8 ans,17,FR,34727,Schneider,https://denis.com/,Produits Frais,LAITAGES,62.8,2021,4.1,2023
204628538,2.04629E+13,De Sousa,Thomas Lenoir,04 69 42 73 47,galletaimee@example.org,30/04/1998,26 ans,37,FR,66760,Peron,https://leclerc.net/,Boissons,EAUX MINERALES,32.2,2022,9.3,2019
236188220,2.36188E+13,Daniel,Gilbert Gaillard,+33 1 82 12 10 64,genevieve19@example.com,9/3/1996,28 ans,15,FR,17663,Barbier,http://www.torres.fr/,Boissons,JUS DE FRUITS,88.9,2018,-4,2018
143435487,1.43435E+13,Rodrigues,Victoire Daniel,+33 (0)5 62 60 98 51,victoiredumas@example.net,28/11/2009,15 ans,88,FR,97694,Sainte Odette,http://boutin.com/,DPH,PRODUITS D'ENTRETIEN,40.2,2019,-7.2,2020
482094552,4.82095E+13,Blot Robert S.A.R.L.,Antoine Cousin-Sauvage,01 48 46 46 41,durandbernadette@example.com,17/10/2008,16 ans,80,FR,14319,HumbertBourg,https://www.collet.com/,Équipement de la Maison,DECORATION,74.9,2022,-5.1,2022
426562171,4.26562E+13,Potier Duval SARL,Marianne Benard,229694936,rdelannoy@example.org,18/09/2002,22 ans,55,FR,87859,Lopez,http://www.guyot.com/,Boissons,SODAS,93.1,2020,0.8,2019
432855374,4.32855E+13,Pottier,Léon Munoz,632956086,alemoine@example.net,1/1/1990,34 ans,85,FR,4273,Fleury,https://www.jacob.org/,Bien-Être,COMPLEMENTS ALIMENTAIRES,28.1,2022,-1.5,2018
422678497,4.22678E+13,Poulain S.A.S.,Philippe Menard Le Jacques,+33 3 71 19 30 61,valerie58@example.net,21/02/2010,14 ans,40,FR,9492,Lesage,http://www.lombard.fr/,DPH,PARFUMERIE,71.3,2022,-7.6,2022
774550487,7.7455E+13,Boucher,Virginie Potier-Faivre,02 14 88 65 50,upoulain@example.net,11/9/1983,41 ans,21,FR,49247,Germain,http://www.boulanger.net/,Équipement de la Maison,MEUBLES,65.6,2022,-9.8,2023
981242740,9.81243E+13,Giraud,Maggie Le Gall-Petit,02 55 55 72 14,wcaron@example.com,20/12/2014,10 ans,23,FR,10338,Baudry,https://www.masse.org/,Épicerie,EPICERIE SUCREE-CAFE,56.8,2021,-4.1,2020
621481989,6.21482E+13,Pinto,Margaret Denis,+33 1 70 88 71 89,hbecker@example.net,24/09/1980,44 ans,88,FR,13971,Mace,http://baron.com/,Boissons,EAUX MINERALES,58.1,2020,-1.9,2019
172857127,1.72857E+13,Da Silva,Virginie-Dominique Joseph,+33 2 34 65 18 54,tristanbonnet@example.com,13/11/2001,23 ans,41,FR,16240,Saint JulieVille,http://riou.net/,Épicerie,EPICERIE SUCREE-CAFE,85,2021,5.5,2018
702720853,7.02721E+13,Garnier Breton S.A.,Christelle Philippe-Delmas,562034484,martinpaul@example.org,10/4/2000,24 ans,7,FR,59265,Costa,https://arnaud.com/,Équipement de la Maison,ELECTROMENAGER,32.3,2019,8.9,2018
544101745,5.44102E+13,Mathieu Blanc SA,Olivier Normand,155848866,jbertrand@example.org,12/11/2005,19 ans,33,FR,95766,Pons,http://renard.com/,Produits Frais,FROMAGES,36.7,2018,3.8,2019
544835859,5.44836E+13,Bourdon,Henri Thomas du Becker,+33 (0)2 98 34 78 07,michelle12@example.com,23/08/1999,25 ans,83,FR,53664,Becker-la-Forêt,https://www.brunet.com/,Boissons,EAUX MINERALES,18.5,2018,7.4,2023
205429085,2.05429E+13,Julien SA,Alfred Le Riou,+33 (0)2 78 96 74 08,mbourgeois@example.net,23/05/2019,5 ans,17,FR,36701,Devauxdan,http://www.marty.net/,DPH,HYGIENE,88.5,2019,9.5,2021
220483250,2.20483E+13,Joubert,Luce Regnier,+33 (0)2 14 55 65 85,alphonse61@example.net,12/8/2014,10 ans,91,FR,92202,Gérard-sur-Faure,http://barthelemy.fr/,Équipement de la Maison,DECORATION,65.1,2019,-6.2,2019
414375194,4.14375E+13,Lefebvre et Fils,Philippe Delannoy,01 73 86 98 25,lucasjacqueline@example.com,25/02/2013,11 ans,14,FR,34913,Bonnet,https://www.adam.fr/,Boissons,SODAS,69.5,2023,7,2022
483206454,1.83443E+13,Rousset,Bernadette Michel-Gimenez,+33 3 82 92 08 21,virginiemasson@example.net,28/11/2007,17 ans,69,FR,62435,Dupuy,https://hamon.net/,Boissons,SODAS,29.1,2021,0.7,2019
